latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source_file
30.22852,75.74661,343.05,0.58,0.7,2024-10-31,07:05,N,nominal,2.0NRT,301.99,8.46,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.19869,75.63906,332.17,0.59,0.7,2024-10-31,07:05,N,nominal,2.0NRT,301.11,3.13,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.17144,75.29005,332.21,0.61,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.56,3.78,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.15913,75.24564,342.25,0.62,0.71,2024-10-31,07:05,N,nominal,2.0NRT,301.4,7.05,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.5465,76.62741,335.25,0.51,0.66,2024-10-31,07:05,N,nominal,2.0NRT,300.02,3.26,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.37597,75.9631,350.36,0.56,0.69,2024-10-31,07:05,N,nominal,2.0NRT,300.33,11.82,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.15534,75.15565,344.97,0.63,0.72,2024-10-31,07:05,N,nominal,2.0NRT,300.65,8.94,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.34591,75.77637,331.4,0.57,0.69,2024-10-31,07:05,N,nominal,2.0NRT,300.07,5.15,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.56639,76.50542,337.94,0.51,0.66,2024-10-31,07:05,N,nominal,2.0NRT,300.22,3.68,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.52441,76.27589,333.35,0.53,0.67,2024-10-31,07:05,N,nominal,2.0NRT,301.1,3.33,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.56004,76.33489,367.0,0.53,0.67,2024-10-31,07:05,N,high,2.0NRT,301.85,9.6,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.599,76.45632,330.78,0.52,0.67,2024-10-31,07:05,N,nominal,2.0NRT,300.93,2.83,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
