latitude,longitude,acq_date,acq_time,frp
30.28385,76.17905,2024-10-31,07:05,9.21
30.16095,75.7022,2024-10-31,07:05,6.19
30.0593,75.33346,2024-10-31,07:05,8.02
30.05755,75.32716,2024-10-31,07:05,5.0
30.28855,76.12209,2024-10-31,07:05,11.7
30.04923,75.24641,2024-10-31,07:05,8.25
30.29468,76.11996,2024-10-31,07:05,11.7
30.26081,75.94427,2024-10-31,07:05,4.44
30.22879,75.75008,2024-10-31,07:05,12.46
30.4304,76.4809,2024-10-31,07:05,2.95
30.43709,76.43164,2024-10-31,07:05,4.08
30.23016,75.75253,2024-10-31,07:05,8.46
30.22852,75.74661,2024-10-31,07:05,8.46
30.19869,75.63906,2024-10-31,07:05,3.13
30.17144,75.29005,2024-10-31,07:05,3.78
30.15913,75.24564,2024-10-31,07:05,7.05
30.5465,76.62741,2024-10-31,07:05,3.26
30.37597,75.9631,2024-10-31,07:05,11.82
30.15534,75.15565,2024-10-31,07:05,8.94
30.34591,75.77637,2024-10-31,07:05,5.15
30.56639,76.50542,2024-10-31,07:05,3.68
30.52441,76.27589,2024-10-31,07:05,3.33
30.56004,76.33489,2024-10-31,07:05,9.6
30.599,76.45632,2024-10-31,07:05,2.83
30.60529,76.43083,2024-10-31,07:05,3.09
30.67387,76.41846,2024-10-31,07:05,20.17
30.67356,76.42133,2024-10-31,07:05,18.32
30.67213,76.41602,2024-10-31,07:05,11.74
30.49311,75.70601,2024-10-31,07:05,4.2
30.70595,76.44487,2024-10-31,07:05,6.95
30.70454,76.43957,2024-10-31,07:05,6.51
30.70313,76.43427,2024-10-31,07:05,6.51
30.55102,75.4627,2024-10-31,07:05,4.93
30.68189,75.79268,2024-10-31,07:05,3.57
30.7594,75.16553,2024-10-31,07:05,6.6
30.75725,75.1634,2024-10-31,07:05,5.61
30.79642,75.2038,2024-10-31,07:05,5.2
30.34067,75.60606,2024-10-31,08:45,5.31
30.34251,75.63154,2024-10-31,08:45,7.26
30.33691,75.63203,2024-10-31,08:45,7.26
30.38336,76.48298,2024-10-31,08:45,10.81
30.38367,76.48778,2024-10-31,08:45,12.86
30.30782,75.46115,2024-10-31,08:45,12.33
30.32088,75.80675,2024-10-31,08:45,6.08
30.332,75.97009,2024-10-31,08:45,3.41
30.36453,76.65554,2024-10-31,08:45,5.36
30.31874,76.0298,2024-10-31,08:45,7.23
30.24995,75.35035,2024-10-31,08:45,2.19
30.23308,75.59418,2024-10-31,08:45,2.32
30.22944,75.5949,2024-10-31,08:45,5.34
30.23728,75.78357,2024-10-31,08:45,3.61
30.17729,75.04073,2024-10-31,08:45,2.72
30.22646,75.95657,2024-10-31,08:45,22.88
30.22706,75.96545,2024-10-31,08:45,14.89
30.22676,75.961,2024-10-31,08:45,14.89
30.19245,75.62791,2024-10-31,08:45,5.02
30.22164,76.05593,2024-10-31,08:45,2.18
30.24714,76.54145,2024-10-31,08:45,4.37
30.14175,75.00104,2024-10-31,08:45,16.42
30.15247,75.22177,2024-10-31,08:45,3.05
30.18538,75.68845,2024-10-31,08:45,4.7
30.16112,75.49979,2024-10-31,08:45,2.45
30.17067,75.63834,2024-10-31,08:45,2.03
30.18144,75.79707,2024-10-31,08:45,3.13
30.16826,75.68563,2024-10-31,08:45,18.0
30.12867,75.19586,2024-10-31,08:45,5.8
30.13808,75.48929,2024-10-31,08:45,2.67
30.13658,75.71855,2024-10-31,08:45,2.97
30.13871,75.48917,2024-10-31,08:45,2.44
30.18954,76.36292,2024-10-31,08:45,4.88
30.09477,75.12757,2024-10-31,08:45,2.53
30.13869,75.71798,2024-10-31,08:45,2.22
30.1796,76.30255,2024-10-31,08:45,3.15
30.11563,75.47871,2024-10-31,08:45,6.88
30.10405,75.397,2024-10-31,08:45,1.53
30.1101,75.47919,2024-10-31,08:45,4.94
30.09259,75.46825,2024-10-31,08:45,2.3
30.10609,75.65647,2024-10-31,08:45,3.28
30.09242,75.54342,2024-10-31,08:45,7.21
30.12735,76.21841,2024-10-31,08:45,3.89
30.0405,75.05781,2024-10-31,08:45,4.32
30.05562,75.3399,2024-10-31,08:45,4.1
30.05737,75.44238,2024-10-31,08:45,4.41
30.09665,76.01601,2024-10-31,08:45,4.12
30.06412,75.78491,2024-10-31,08:45,2.46
30.00694,75.1199,2024-10-31,08:45,3.87
30.00722,75.12383,2024-10-31,08:45,4.4
30.054,75.80318,2024-10-31,08:45,2.82
30.04381,75.73485,2024-10-31,08:45,2.45
30.10539,76.71752,2024-10-31,08:45,3.3
30.00578,75.12305,2024-10-31,08:45,5.5
30.01527,75.24544,2024-10-31,08:45,1.47
30.07183,76.00706,2024-10-31,08:45,2.01
30.05165,75.80592,2024-10-31,08:45,3.06
30.0407,75.73335,2024-10-31,08:45,2.5
30.10287,76.71954,2024-10-31,08:45,3.28
30.0304,75.74715,2024-10-31,08:45,1.58
30.01163,75.56591,2024-10-31,08:45,7.8
30.01193,75.57008,2024-10-31,08:45,10.72
30.02817,75.7949,2024-10-31,08:45,5.81
30.00941,75.61243,2024-10-31,08:45,7.65
29.98028,75.36591,2024-10-31,08:45,3.92
29.98575,75.75533,2024-10-31,08:45,1.54
29.96745,75.57401,2024-10-31,08:45,6.38
29.93943,75.82427,2024-10-31,08:45,2.5
29.90648,75.41763,2024-10-31,08:45,2.99
29.9539,75.90976,2024-10-31,08:45,3.13
29.90636,75.41739,2024-10-31,08:45,2.02
29.8899,75.34556,2024-10-31,08:45,3.21
29.87715,75.32245,2024-10-31,08:45,2.95
29.9288,76.04053,2024-10-31,08:45,2.76
29.93851,76.53564,2024-10-31,08:45,7.78
29.87277,75.89033,2024-10-31,08:45,6.05
29.80989,75.15318,2024-10-31,08:45,5.89
29.81017,75.15709,2024-10-31,08:45,8.23
29.87649,76.13044,2024-10-31,08:45,3.78
29.84975,76.32967,2024-10-31,08:45,4.51
29.77353,75.34073,2024-10-31,08:45,2.2
29.80857,75.90036,2024-10-31,08:45,9.13
29.80887,75.9047,2024-10-31,08:45,14.37
29.79544,75.87531,2024-10-31,08:45,4.68
29.79224,75.99412,2024-10-31,08:45,5.6
29.78745,76.00784,2024-10-31,08:45,4.61
29.76278,75.73159,2024-10-31,08:45,3.58
29.77343,75.88592,2024-10-31,08:45,12.01
29.72138,75.22949,2024-10-31,08:45,1.91
29.72051,75.21768,2024-10-31,08:45,9.3
29.72715,75.46294,2024-10-31,08:45,2.68
29.70503,75.30679,2024-10-31,08:45,2.37
29.75446,76.02843,2024-10-31,08:45,6.1
29.75475,76.03286,2024-10-31,08:45,10.03
29.70393,75.30695,2024-10-31,08:45,2.87
29.75838,76.03178,2024-10-31,08:45,12.94
29.67332,75.26579,2024-10-31,08:45,1.64
29.72364,75.9463,2024-10-31,08:45,9.48
29.69378,75.92694,2024-10-31,08:45,3.85
29.70901,76.68683,2024-10-31,08:45,4.48
29.70588,76.6887,2024-10-31,08:45,2.65
29.6571,76.15873,2024-10-31,08:45,2.16
29.63951,76.23728,2024-10-31,08:45,3.68
29.45055,75.32095,2024-10-31,08:45,1.04
29.3343,75.24568,2024-10-31,08:45,4.08
29.34231,76.24614,2024-10-31,08:45,1.35
29.31446,76.88152,2024-10-31,08:45,1.49
29.22998,76.29625,2024-10-31,08:45,2.39
29.24639,76.55392,2024-10-31,08:45,2.32
29.24544,76.69395,2024-10-31,08:45,4.36
29.06193,75.67618,2024-10-31,08:45,4.66
29.02713,76.22469,2024-10-31,08:45,4.65
29.03925,76.59041,2024-10-31,08:45,4.45
29.02615,76.22475,2024-10-31,08:45,4.89
29.04059,76.5898,2024-10-31,08:45,2.49
28.93835,76.38416,2024-10-31,08:45,2.33
28.3182,76.68345,2024-10-31,08:45,3.86
28.31891,76.68448,2024-10-31,08:45,3.12
30.189,76.36412,2024-10-31,08:45,5.16
30.99153,75.43994,2024-10-31,08:45,5.17
30.90638,75.01558,2024-10-31,08:45,5.53
30.89437,75.00065,2024-10-31,08:45,30.01
30.80937,75.77459,2024-10-31,08:45,2.99
30.80812,76.12025,2024-10-31,08:45,3.24
30.81803,76.28436,2024-10-31,08:45,8.15
30.81858,76.2829,2024-10-31,08:45,6.79
30.81889,76.28764,2024-10-31,08:45,11.6
30.64153,75.33761,2024-10-31,08:45,2.71
30.65982,75.61571,2024-10-31,08:45,5.22
30.66245,75.61584,2024-10-31,08:45,5.56
30.61014,75.05222,2024-10-31,08:45,7.02
30.6861,76.39341,2024-10-31,08:45,2.22
30.68175,76.41792,2024-10-31,08:45,33.93
30.68205,76.42274,2024-10-31,08:45,42.67
30.68296,76.43719,2024-10-31,08:45,12.87
30.64669,75.96658,2024-10-31,08:45,2.91
30.67708,76.43764,2024-10-31,08:45,6.85
30.58019,75.09091,2024-10-31,08:45,3.31
30.67059,76.42844,2024-10-31,08:45,3.26
30.57505,75.0954,2024-10-31,08:45,3.46
30.53783,75.11087,2024-10-31,08:45,3.02
30.54398,75.1991,2024-10-31,08:45,3.19
30.61149,76.42826,2024-10-31,08:45,5.6
30.53448,75.30231,2024-10-31,08:45,4.51
30.60589,76.43355,2024-10-31,08:45,4.93
30.60338,76.492,2024-10-31,08:45,1.97
30.53657,75.11297,2024-10-31,08:45,4.61
30.54298,75.19703,2024-10-31,08:45,2.06
30.53443,75.30401,2024-10-31,08:45,4.46
30.61292,76.42874,2024-10-31,08:45,3.91
30.57223,75.91082,2024-10-31,08:45,3.49
30.60736,76.434,2024-10-31,08:45,6.28
30.59932,76.49284,2024-10-31,08:45,4.56
30.49525,75.07272,2024-10-31,08:45,1.4
30.57522,76.39314,2024-10-31,08:45,5.45
30.57552,76.39792,2024-10-31,08:45,7.76
30.58108,76.77724,2024-10-31,08:45,2.96
30.48063,75.73691,2024-10-31,08:45,3.81
30.48058,76.09544,2024-10-31,08:45,3.63
30.49734,76.47166,2024-10-31,08:45,5.32
30.47807,75.73731,2024-10-31,08:45,2.54
30.48025,76.09521,2024-10-31,08:45,3.4
30.49938,76.47071,2024-10-31,08:45,4.45
30.4496,75.98387,2024-10-31,08:45,4.38
30.37148,75.26596,2024-10-31,08:45,2.82
30.42159,75.99521,2024-10-31,08:45,6.66
30.43844,76.44176,2024-10-31,08:45,13.52
30.38941,75.85465,2024-10-31,08:45,6.71
30.41266,76.21631,2024-10-31,08:45,19.5
30.37369,75.70269,2024-10-31,08:45,4.15
30.4106,76.37202,2024-10-31,08:45,4.75
30.33915,75.60679,2024-10-31,08:45,7.12
30.34083,75.63235,2024-10-31,08:45,17.59
30.77608,75.13169,2024-10-31,21:10,0.38
30.55989,76.47314,2024-10-31,21:10,0.71
29.34816,75.12116,2024-10-31,21:10,0.88
29.36987,75.12243,2024-10-31,21:10,0.47
30.60017,76.42578,2024-11-01,08:26,5.38
30.97658,75.05019,2024-11-01,08:26,3.08
30.99642,75.31108,2024-11-01,08:26,2.32
30.98536,75.28626,2024-11-01,08:26,4.55
30.93171,75.01839,2024-11-01,08:26,2.49
30.97462,75.89321,2024-11-01,08:26,3.43
30.91062,75.33616,2024-11-01,08:26,5.34
30.92343,75.46301,2024-11-01,08:26,4.84
30.95563,75.78761,2024-11-01,08:26,15.7
30.90937,75.33581,2024-11-01,08:26,5.69
30.92297,75.46242,2024-11-01,08:26,2.56
30.95725,75.78642,2024-11-01,08:26,6.44
30.95299,75.78699,2024-11-01,08:26,6.44
30.97485,76.21577,2024-11-01,08:26,6.73
